device,dev_type,L_um,W_um,bin_index,paper_reported,rrms,sigma
nmos_L0p15_W1p6,nmos,0.15,1.6,0,0.059,0.05969665022963153,0.07392636873285842
nmos_L0p19_W7,nmos,0.19,7.0,1,0.097,0.48805027210431595,1.2165629964837372
nmos_L0p25_W1p6,nmos,0.25,1.6,2,0.098,0.9734592244816421,2.74015894997794
nmos_L1_W1p6,nmos,1.0,1.6,3,0.128,0.5937220278790689,1.4469886342385172
nmos_L1_W3,nmos,1.0,3.0,4,0.16,0.7123682910781015,1.7133019852913192
nmos_L8_W1p6,nmos,8.0,1.6,5,0.147,0.14386128941363097,0.16032926700897113
nmos_L20_W0p64,nmos,20.0,0.64,6,0.13,0.23074363706634832,0.3176150118486049
nmos_L100_W100,nmos,100.0,100.0,7,0.142,0.28799399068132714,0.46054680777076806
pmos_L0p35_W0p55,pmos,0.35,0.55,10,0.701,0.9305912268911448,1.8630374408849013
pmos_L0p35_W1p6,pmos,0.35,1.6,3,0.374,0.8689987309866005,1.6668737685864117
pmos_L0p35_W5,pmos,0.35,5.0,9,0.324,0.44658923804936584,0.6086215166587956
pmos_L0p5_W0p42,pmos,0.5,0.42,10,0.465,1.0982949900151744,0.3695289760466466
pmos_L0p5_W0p64,pmos,0.5,0.64,5,0.322,0.8179151996496808,1.1497218670923577
pmos_L2_W5,pmos,2.0,5.0,11,0.207,0.9755049435939047,1.600633097856687
pmos_L4_W7,pmos,4.0,7.0,2,0.281,0.7351228018388586,1.464347118225511
pmos_L8_W0p84,pmos,8.0,0.84,8,0.48,0.804961498483415,1.0559017156238661
pmos_L8_W1p6,pmos,8.0,1.6,6,0.515,0.8279050740012156,1.1346996084450163
pmos_L8_W5,pmos,8.0,5.0,2,0.388,1.4578209371038229,1.1610013180250838
