device,bin,paper_reported,start_rrms,rrms,best_method
nmos_L0p15_W1p6,0,0.059,0.0597,0.0415,emu_search+fd
nmos_L0p19_W7,1,0.097,0.4880,0.4297,emu_search+fd
nmos_L0p25_W1p6,2,0.098,0.9735,0.9134,emu_search+fd
nmos_L100_W100,7,0.142,0.2880,0.2801,emu_search+fd
nmos_L1_W1p6,3,0.128,0.5937,0.5148,emu_search+fd
nmos_L1_W3,4,0.16,0.7124,0.6235,emu_search+fd
nmos_L20_W0p64,6,0.13,0.2307,0.1709,emu_search+fd
nmos_L8_W1p6,5,0.147,0.1439,0.0577,emu_search+fd
pmos_L0p35_W0p55,10,0.701,0.9306,0.5693,shared_bin_ml+fd
pmos_L0p35_W1p6,3,0.374,0.8690,0.7544,emu_search+fd
pmos_L0p35_W5,9,0.324,0.4466,0.2540,emu_search+fd
pmos_L0p5_W0p42,10,0.465,1.0983,1.1814,shared_bin_ml+fd
pmos_L0p5_W0p64,5,0.322,0.8179,0.4839,emu_search+fd
pmos_L2_W5,11,0.207,0.9755,0.9632,emu_search+fd
pmos_L4_W7,2,0.281,0.7351,0.6638,shared_bin_ml+fd
pmos_L8_W0p84,8,0.48,0.8050,0.5761,emu_search+fd
pmos_L8_W1p6,6,0.515,0.8279,0.5711,inverse_mlp+fd
pmos_L8_W5,2,0.388,1.4578,0.7390,shared_bin_ml+fd
